study_area,id,Latitude,Longitude,orbit,incidence_angle,field_id,date,soil_moisture,G_VH_dB,G_VV_dB,projectedLocalIncidenceAngle,assumed_clay_content,C11_ILSF9_BI1000_dB,C22_ILSF9_BI1000_dB,Surface_r_ILSF9_BI1000,Volume_g_ILSF9_BI1000,Ratio_b_ILSF9_BI1000,projectedLocalIncidenceAngle,soil_complex,soil_type,soil_texture,top_texture,range_clay_content,assumed_clay_content
KEDZIERZYN,KA06,50.3635944,18.1146042,A175,36.95,KA,11.10.2024,37.23,-17.7,-7.49,37.27,43.0,-11.7243,-21.0797,-13.591,-15.356,1.765,37.27,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA07,50.3637635,18.1156337,A175,36.95,KA,11.10.2024,31.56,-17.52,-8.07,37.07,43.0,-9.7209,-21.2172,-12.606,-15.185,2.579,37.07,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA08,50.3639201,18.1164291,A175,36.95,KA,11.10.2024,32.43,-17.51,-8.57,36.88,43.0,-13.2577,-21.3528,-15.521,-15.585,0.065,36.88,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA09,50.3643214,18.1161017,A175,36.95,KA,11.10.2024,34.24,-17.85,-8.49,37.08,43.0,-13.2126,-23.3602,-14.936,-16.768,1.832,37.08,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA10,50.3641907,18.1153951,A175,36.95,KA,11.10.2024,31.68,-17.48,-7.64,37.07,43.0,-11.4718,-21.4658,-12.965,-15.372,2.407,37.07,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KB01,50.3629601,18.1135265,A175,36.95,KB,11.10.2024,27.39,-19.96,-10.02,37.06,43.0,-14.0343,-23.5374,-15.741,-16.731,0.99,37.06,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KB02,50.3626425,18.1136987,A175,36.95,KB,11.10.2024,24.23,-19.5,-9.97,37.39,43.0,-13.4387,-22.0822,-16.083,-16.052,-0.031,37.39,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KB03,50.3624016,18.1133948,A175,36.95,KB,11.10.2024,27.24,-19.75,-10.02,37.14,43.0,-14.6875,-21.0606,-17.86,-15.498,-2.363,37.14,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KB04,50.3627233,18.1130585,A175,36.95,KB,11.10.2024,28.45,-18.67,-8.75,36.8,43.0,-13.5555,-21.9915,-15.847,-15.922,0.075,36.8,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KD01,50.3610262,18.1113311,A175,36.95,KD,11.10.2024,24.15,-20.31,-10.04,37.21,43.0,-14.8348,-24.9307,-16.903,-18.582,1.679,37.21,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KH01,50.3251835,18.1577742,A175,36.95,KH,12.10.2024,32.15,-16.67,-6.92,38.05,43.0,-10.9459,-19.418,-13.934,-13.729,-0.206,38.05,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KH02,50.3252423,18.1571998,A175,36.95,KH,12.10.2024,32.13,-16.84,-7.11,37.01,43.0,-10.3835,-19.2776,-13.234,-13.164,-0.069,37.01,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KH03,50.3254998,18.1573153,A175,36.95,KH,12.10.2024,27.52,-17.53,-7.67,36.88,43.0,-10.5549,-19.5567,-12.897,-13.531,0.634,36.88,2,F,c:ps,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA03,50.3683595,18.0932747,A175,36.95,KA,11.10.2024,32.18,-20.06,-10.0,34.79,43.0,-14.8634,-20.9744,-19.763,-14.899,-4.864,34.79,8,F,c:żg,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KKX01,50.3640763,18.0685949,A175,36.95,KKX,14.10.2024,28.72,-24.45,-11.07,36.27,50.0,-14.5704,-26.5034,-15.635,-19.85,4.215,36.27,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KKX02,50.3641179,18.0692048,A175,36.95,KKX,14.10.2024,31.34,-24.7,-11.01,36.87,50.0,-13.7094,-26.4291,-14.697,-19.894,5.197,36.87,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KKX03,50.3641061,18.0698155,A175,36.95,KKX,14.10.2024,31.02,-24.25,-11.43,39.73,50.0,-14.8044,-25.1064,-16.036,-19.091,3.055,39.73,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KKX04,50.3645446,18.0701305,A175,36.95,KKX,14.10.2024,29.8,-22.07,-11.18,36.56,50.0,-14.4013,-24.8043,-16.175,-18.82,2.644,36.56,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KKX05,50.3645807,18.0695276,A175,36.95,KKX,14.10.2024,28.16,-22.81,-11.63,36.87,50.0,-14.3945,-24.0514,-16.516,-18.522,2.006,36.87,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KKX06,50.3645988,18.0688632,A175,36.95,KKX,14.10.2024,30.44,-23.28,-12.28,38.08,50.0,-15.6587,-24.523,-17.711,-18.427,0.716,38.08,8,A,gc:gl:.ps,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KO06,50.328018,18.1877013,A175,36.95,KO,12.10.2024,42.49,-20.5,-8.98,34.66,50.0,-12.4504,-23.0339,-13.745,-17.287,3.542,34.66,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KO07,50.3277181,18.1882869,A175,36.95,KO,12.10.2024,50.43,-19.76,-8.89,37.35,50.0,-14.7988,-22.4627,-16.099,-16.387,0.288,37.35,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KO08,50.3275089,18.1886737,A175,36.95,KO,12.10.2024,39.49,-18.9,-7.97,37.35,50.0,-13.0797,-22.0209,-14.67,-15.884,1.215,37.35,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KO09,50.3271801,18.1889526,A175,36.95,KO,12.10.2024,41.81,-18.61,-8.48,37.35,50.0,-12.7141,-21.638,-14.69,-15.778,1.089,37.35,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KP01,50.3260915,18.1880195,A175,36.95,KP,12.10.2024,30.84,-19.41,-10.17,35.56,50.0,-13.0946,-22.273,-15.052,-15.988,0.935,35.56,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KP02,50.3262294,18.1874766,A175,36.95,KP,12.10.2024,28.86,-19.1,-9.41,36.36,50.0,-13.0047,-21.4359,-15.156,-15.395,0.24,36.36,8,F,gc:płi,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KW01,50.302798,18.2138602,A175,36.95,KW,12.10.2024,37.19,-18.03,-7.47,35.6,50.0,-12.0632,-20.9704,-13.509,-15.138,1.629,35.6,8,F,gcp,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KW02,50.3031754,18.2139578,A175,36.95,KW,12.10.2024,35.72,-17.58,-7.47,37.1,50.0,-10.8523,-21.5584,-12.348,-15.662,3.314,37.1,8,F,gcp,gliny ciężkie,pow. 50,50.0
KEDZIERZYN,KW03,50.3032571,18.2135629,A175,36.95,KW,12.10.2024,35.55,-17.72,-6.74,37.14,50.0,-10.1843,-22.1638,-10.512,-15.815,5.303,37.14,8,F,gcp,gliny ciężkie,pow. 50,50.0
OBORY,OC01,52.0674615,21.1458129,A029,34.55,OC,28.08.2024,10.25,-20.77,-13.26,35.3,30.0,-16.4041,-22.3332,-20.514,-16.732,-3.782,35.3,2,Bk,gl.gc,glina lekka,25 - 35,30.0
OBORY,OC02,52.0678133,21.1453743,A029,34.55,OC,28.08.2024,13.03,-20.66,-11.6,34.38,30.0,-13.7198,-21.4282,-17.159,-15.75,-1.409,34.38,2,Bk,gl.gc,glina lekka,25 - 35,30.0
OBORY,OC21,52.0675312,21.1446556,A029,34.55,OC,28.08.2024,14.15,-21.25,-11.48,34.49,30.0,-14.8119,-23.8903,-17.46,-17.777,0.316,34.49,2,Bk,gl.gc,glina lekka,25 - 35,30.0
OBORY,OC22,52.0672295,21.1453138,A029,34.55,OC,28.08.2024,12.88,-22.3,-13.9,34.31,30.0,-15.2705,-23.2758,-18.502,-17.203,-1.299,34.31,2,Bk,gl.gc,glina lekka,25 - 35,30.0
KEDZIERZYN,KV01,50.3135496,18.2072705,A175,36.95,KV,12.10.2024,42.72,-17.16,-8.33,37.12,30.0,-15.2461,-20.3288,-21.174,-14.742,-6.432,37.12,2,zF,glp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KV02,50.3134688,18.2069121,A175,36.95,KV,12.10.2024,49.16,-18.73,-9.37,37.05,30.0,-15.4107,-20.1454,-22.26,-14.893,-7.367,37.05,2,zF,glp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KV03,50.3132642,18.2075624,A175,36.95,KV,12.10.2024,39.14,-17.22,-8.22,37.74,30.0,-12.6011,-20.3502,-15.08,-14.463,-0.617,37.74,2,F,glp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KV04,50.31293,18.2078771,A175,36.95,KV,12.10.2024,36.67,-17.85,-8.08,37.41,30.0,-11.6706,-20.2363,-14.07,-14.438,0.368,37.41,2,F,glp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KV05,50.3132208,18.2081922,A175,36.95,KV,12.10.2024,36.83,-19.11,-9.01,37.74,30.0,-11.9093,-21.2781,-13.47,-15.265,1.795,37.74,2,zF,glp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KV06,50.3136233,18.2081497,A175,36.95,KV,12.10.2024,36.17,-18.13,-7.44,37.42,30.0,-10.5879,-22.9389,-12.033,-16.54,4.507,37.42,2,zF,glp,glina lekka pylasta,25 - 35,30.0
BRWINOW,BB01,52.1476595,20.7001798,A102,41.14,BB,19.10.2024,26.86,-19.94,-11.55,40.936,30.0,-15.7047,-22.7753,-19.114,-16.387,-2.728,40.936,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BB02,52.148024,20.7002755,A102,41.14,BB,19.10.2024,25.29,-20.92,-11.85,41.182,30.0,-15.0051,-22.6178,-18.551,-16.681,-1.87,41.182,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BB03,52.1482544,20.6997713,A102,41.14,BB,19.10.2024,25.12,-21.51,-11.42,40.089,30.0,-14.4589,-22.5355,-17.584,-16.764,-0.82,40.089,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BB04,52.1479528,20.6995961,A102,41.14,BB,19.10.2024,26.2,-21.62,-11.26,41.542,30.0,-14.6569,-21.4904,-17.61,-16.212,-1.399,41.542,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BC03,52.1480821,20.6920934,A102,41.14,BC,19.10.2024,23.29,-25.56,-11.66,40.509,30.0,-16.9857,-24.0234,-20.024,-18.447,-1.577,40.509,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BC04,52.1478738,20.6926787,A102,41.14,BC,19.10.2024,23.3,-23.95,-11.92,41.212,30.0,-15.6181,-25.4228,-17.621,-19.465,1.844,41.212,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD01,52.1479567,20.6996047,A029,32.56,BGD,21.03.2025,15.53,-23.4,-13.54,32.962,30.0,-16.4737,-23.9302,-19.515,-18.264,-1.251,32.962,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD01,52.1479567,20.6996047,A102,41.14,BGD,25.03.2025,20.5,-22.15,-10.86,41.542,30.0,-15.6389,-25.9783,-16.531,-18.951,2.421,41.542,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD02,52.1482485,20.6996743,A029,32.56,BGD,21.03.2025,20.19,-23.07,-12.15,32.247,30.0,-16.1333,-23.6737,-18.98,-18.511,-0.469,32.247,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD02,52.1482485,20.6996743,A102,41.14,BGD,25.03.2025,20.74,-20.05,-10.43,41.199,30.0,-14.4272,-23.9217,-16.254,-17.574,1.32,41.199,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD03,52.1485426,20.6997318,A029,32.56,BGD,21.03.2025,19.82,-24.38,-13.98,31.551,30.0,-16.0225,-23.6677,-18.427,-18.589,0.163,31.551,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD03,52.1485426,20.6997318,A102,41.14,BGD,25.03.2025,21.98,-20.35,-10.62,39.334,30.0,-13.9253,-23.347,-15.766,-17.617,1.851,39.334,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD04,52.1488637,20.699789,A029,32.56,BGD,21.03.2025,20.28,-21.8,-12.46,30.074,30.0,-16.6575,-24.1548,-18.695,-18.798,0.102,30.074,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD04,52.1488637,20.699789,A102,41.14,BGD,25.03.2025,21.16,-21.42,-9.78,39.334,30.0,-13.8932,-23.5703,-15.329,-17.619,2.29,39.334,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD07,52.1488417,20.7004252,A029,32.56,BGD,21.03.2025,18.78,-21.58,-11.69,32.613,30.0,-16.066,-24.0108,-18.319,-18.665,0.346,32.613,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD07,52.1488417,20.7004252,A102,41.14,BGD,25.03.2025,22.03,-22.04,-10.84,41.242,30.0,-13.5981,-23.7913,-14.794,-18.15,3.356,41.242,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD08,52.1485252,20.7003729,A029,32.56,BGD,21.03.2025,20.22,-22.53,-12.65,31.665,30.0,-15.7911,-23.1369,-18.597,-17.993,-0.603,31.665,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD08,52.1485252,20.7003729,A102,41.14,BGD,25.03.2025,21.38,-21.77,-10.83,40.457,30.0,-13.5434,-23.7443,-14.977,-17.911,2.935,40.457,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD09,52.1481911,20.7003336,A029,32.56,BGD,21.03.2025,19.13,-22.37,-12.82,31.793,30.0,-16.6942,-24.147,-20.323,-18.046,-2.278,31.793,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD09,52.1481911,20.7003336,A102,41.14,BGD,25.03.2025,21.14,-20.46,-9.99,39.883,30.0,-14.2666,-24.3103,-15.779,-18.054,2.275,39.883,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD10,52.1478886,20.7002894,A029,32.56,BGD,21.03.2025,20.82,-22.2,-13.3,32.612,30.0,-18.0853,-24.5351,-22.739,-17.922,-4.817,32.612,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD10,52.1478886,20.7002894,A102,41.14,BGD,25.03.2025,19.83,-21.7,-10.97,41.241,30.0,-15.6265,-24.6044,-16.969,-18.507,1.538,41.241,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGE10,52.1467065,20.6997489,A029,32.56,BGE,21.03.2025,19.29,-23.57,-13.9,30.67,30.0,-17.6244,-22.987,-24.065,-17.152,-6.913,30.67,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGE10,52.1467065,20.6997489,A029,32.56,BGE,21.03.2025,19.29,-23.57,-13.9,30.67,30.0,-17.6244,-22.987,-24.065,-17.152,-6.913,30.67,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGE10,52.1467065,20.6997489,A102,41.14,BGE,25.03.2025,21.75,-20.78,-10.93,39.895,30.0,-15.3973,-22.0718,-19.735,-15.982,-3.753,39.895,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGE10,52.1467065,20.6997489,A102,41.14,BGE,25.03.2025,21.75,-20.78,-10.93,39.895,30.0,-15.3973,-22.0718,-19.735,-15.982,-3.753,39.895,8,Dz,glp:gc,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KN06,50.3268668,18.1803631,A175,36.95,KN,12.10.2024,39.2,-18.06,-9.48,35.83,30.0,-12.5252,-22.5911,-13.928,-16.611,2.683,35.83,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KN07,50.3271445,18.1807688,A175,36.95,KN,12.10.2024,51.61,-17.82,-8.95,37.56,30.0,-12.1318,-21.2381,-14.682,-15.131,0.449,37.56,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KQ01,50.3231909,18.1854842,A175,36.95,KQ,12.10.2024,29.08,-18.95,-9.88,39.09,30.0,-13.671,-21.4121,-16.565,-15.717,-0.848,39.09,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KQ02,50.3230852,18.1850362,A175,36.95,KQ,12.10.2024,28.0,-20.13,-10.81,37.33,30.0,-13.2479,-22.2171,-15.403,-16.045,0.641,37.33,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KQ03,50.3228063,18.185194,A175,36.95,KQ,12.10.2024,28.77,-19.11,-9.6,37.62,30.0,-13.6283,-22.3132,-16.065,-16.298,0.233,37.62,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KQ04,50.3229523,18.1856983,A175,36.95,KQ,12.10.2024,25.99,-19.13,-9.86,37.33,30.0,-14.3525,-22.5214,-16.856,-16.593,-0.264,37.33,1,F,glp:gsp,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD05,52.1491694,20.699838,A029,32.56,BGD,21.03.2025,22.25,-23.1,-13.66,29.656,30.0,-16.1811,-24.76,-18.626,-18.727,0.101,29.656,2,D,glp.gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD05,52.1491694,20.699838,A102,41.14,BGD,25.03.2025,20.01,-21.79,-10.02,38.27,30.0,-13.5732,-23.593,-15.153,-17.602,2.449,38.27,2,D,glp.gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD06,52.1491221,20.7004845,A029,32.56,BGD,21.03.2025,23.14,-23.18,-13.04,32.614,30.0,-16.607,-24.7866,-18.698,-19.285,0.587,32.614,2,D,glp.gc,glina lekka pylasta,25 - 35,30.0
BRWINOW,BGD06,52.1491221,20.7004845,A102,41.14,BGD,25.03.2025,21.19,-20.77,-9.69,41.243,30.0,-13.7429,-24.4581,-15.025,-18.228,3.203,41.243,2,D,glp.gc,glina lekka pylasta,25 - 35,30.0
KEDZIERZYN,KN01,50.3274376,18.1824006,A175,36.95,KN,12.10.2024,33.16,-21.18,-10.6,37.29,42.0,-10.9524,-21.8524,-12.349,-15.72,3.371,37.29,2,F,gsp,gliny średnie pyłowe,35 - 50,42.0
KEDZIERZYN,KO02,50.3271831,18.1871925,A175,36.95,KO,12.10.2024,51.83,-18.6,-7.38,38.92,42.0,-11.2417,-21.3203,-12.568,-15.562,2.994,38.92,2,F,gsp,gliny średnie pyłowe,35 - 50,42.0
